2022-03-14 20:31:30,996 INFO [root] [base.py (base_get_value:base_get_value:35)]-get inputElement('css selector', '#resultIpt') value
2022-03-14 20:31:30,996 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#resultIpt')
2022-03-14 20:32:52,170 INFO [root] [base.py (__init__:__init__:12)]-inint driver<selenium.webdriver.chrome.webdriver.WebDriver (session="8adfcbef12c74ad9559a9d7c3d2f41c7")>
2022-03-14 20:32:52,301 INFO [root] [base.py (__init__:__init__:14)]-max window<selenium.webdriver.chrome.webdriver.WebDriver (session="8adfcbef12c74ad9559a9d7c3d2f41c7")>
2022-03-14 20:32:52,694 ERROR [root] [test_calc.py (setUpClass:setUpClass:25)]-Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=99.0.4844.51)

2022-03-14 20:33:38,509 INFO [root] [base.py (__init__:__init__:12)]-inint driver<selenium.webdriver.chrome.webdriver.WebDriver (session="59afa54d023aa8f4ab9e80b9dc5a4f94")>
2022-03-14 20:33:38,636 INFO [root] [base.py (__init__:__init__:14)]-max window<selenium.webdriver.chrome.webdriver.WebDriver (session="59afa54d023aa8f4ab9e80b9dc5a4f94")>
2022-03-14 20:33:39,894 INFO [root] [base.py (__init__:__init__:16)]-open url
2022-03-14 20:33:39,897 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleClearAllBtn')
2022-03-14 20:33:39,897 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleClearAllBtn')
2022-03-14 20:33:39,941 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:33:39,941 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:33:39,980 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleAdd')
2022-03-14 20:33:39,980 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleAdd')
2022-03-14 20:33:40,014 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:33:40,014 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
